feature_name,source,category,definition,construction_method,type
flag_unpainted,text,paint,"1 if the description matches any of: \bunpainted\b, \bbare\s+(plaster|cement|brick)\b, \broughcast\b, \bwall[- ]plate\b, finish\s+to\s+your\s+own\s+taste; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_painted,text,paint,"1 if the description matches any of: \bpainted\b(?!.{0,15}unpainted), \bfreshly\s+painted\b, \bnewly\s+painted\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_paved,text,paving,"1 if the description matches any of: \bpaved\b, \bpaving\b, \btarred\s+driveway\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_unpaved,text,paving,"1 if the description matches any of: \bunpaved\b, \bbare\s+earth\b, \bdirt\s+driveway\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_walled,text,security,"1 if the description matches any of: \bwalled\b, \bdurawall\b, \bdurawalled\b, \bwalled\s+and\s+gated\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_unfenced,text,security,"1 if the description matches any of: \bunfenced\b, \bnot\s+yet\s+walled\b, \bno\s+(wall|durawall|fence)\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_electric_fence,text,security,1 if the description matches any of: \belectric\s+fence\b; else 0,Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_security_24hr,text,security,"1 if the description matches any of: 24\s?hr\s+security, \bgated\s+community\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_ceiling_fitted,text,ceiling,"1 if the description matches any of: \bceiling(?:s)?\s+fitted\b, \bceiled\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_no_ceiling,text,ceiling,"1 if the description matches any of: \bno\s+ceiling\b, \btrusses\s+exposed\b, roof\s+underside\s+exposed; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_kitchen_fitted,text,kitchen,"1 if the description matches any of: \bfitted\s+kitchen\b, \bgourmet\s+kitchen\b, \bmodern\s+kitchen\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_kitchen_unfitted,text,kitchen,"1 if the description matches any of: \bnot\s+fitted\b.{0,20}kitchen|\bkitchen\b.{0,20}not\s+fitted, \bstub[- ]outs?\s+only\b, \bplumbing\s+and\s+electrical\s+stub; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_tiled,text,flooring,"1 if the description matches any of: \btiled\b, \bfully\s+tiled\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_screeded_bare_floor,text,flooring,"1 if the description matches any of: \bscreeded\b, \bbare\s+cement\s+floor, \bcement\s+floors?\b(?!.{0,10}tiled); else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_borehole,text,water,1 if the description matches any of: \bborehole\b; else 0,Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_water_tank,text,water,"1 if the description matches any of: \bwater\s+tank\b, \d\s?000\s?l(?:tr|itre)?\s+tank; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_municipal_only,text,water,"1 if the description matches any of: \bmunicipal\s+(?:water|mains)\s+only\b, \bcouncil\s+water\s+only\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_solar,text,power,"1 if the description matches any of: \bsolar\b, \bsolar[- ]powered\b, \d(?:\.\d)?\s?kva\s+solar; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_zesa_good,text,power,"1 if the description matches any of: \bgood\s+zesa\b, \bzesa[- ]connected\b, \bprepaid\s+meter\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_ensuite,text,layout,"1 if the description matches any of: \ben[- ]?suite\b, \bmain\s+en\s?suite\b, \bmes\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_bics,text,layout,"1 if the description matches any of: \bbics?\b, built[- ]?in\s+cupboards?; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_staff_quarters,text,layout,"1 if the description matches any of: \bstaff\s+quarters\b, \bcottage\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_title_deeds,text,title,1 if the description matches any of: \btitle\s+deeds?\b; else 0,Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
flag_cession,text,title,"1 if the description matches any of: \bcession\b, \bdeed\s+of\s+cession\b, \bconsent\s+to\s+sell\b; else 0",Regex match (case-insensitive) against the scraped free-text description; see VOCABULARY in text_features.py,binary
construction_stage_ordinal,text,construction_stage,0 = no construction-stage language detected; 1 = shell/incomplete/wall-plate level; 2 = structurally complete but unfinished; 3 = move-in ready/fully finished/turn-key,"Highest-scoring pattern match, see CONSTRUCTION_STAGE_PATTERNS in text_features.py",ordinal (0-3)
"tfidf_selected_terms (variable set, k of them)",text,nlp_general,"TF-IDF weight (1-2 grams, min_df=5, max_df=0.6) for the k terms most associated with log(price) via univariate f_regression",sklearn TfidfVectorizer -> SelectKBest(f_regression); see tfidf_features() in text_features.py,continuous (TF-IDF weight)
img_painted_mean,image,painted,"Mean (over the listing's scored photos) CLIP softmax probability of 'a photo of a freshly painted interior wall' vs 'a photo of a bare, unpainted plaster or cement wall'","Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_painted_max,image,painted,"Max (over the listing's scored photos) CLIP softmax probability of 'a photo of a freshly painted interior wall' vs 'a photo of a bare, unpainted plaster or cement wall'","Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_paved_mean,image,paved,"Mean (over the listing's scored photos) CLIP softmax probability of 'a photo of a paved driveway or courtyard' vs 'a photo of a bare earth, unpaved driveway'","Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_paved_max,image,paved,"Max (over the listing's scored photos) CLIP softmax probability of 'a photo of a paved driveway or courtyard' vs 'a photo of a bare earth, unpaved driveway'","Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_walled_secure_mean,image,walled_secure,"Mean (over the listing's scored photos) CLIP softmax probability of 'a photo of a walled or durawalled property boundary' vs 'a photo of an open, unfenced yard with no boundary wall'","Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_walled_secure_max,image,walled_secure,"Max (over the listing's scored photos) CLIP softmax probability of 'a photo of a walled or durawalled property boundary' vs 'a photo of an open, unfenced yard with no boundary wall'","Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_ceiling_fitted_mean,image,ceiling_fitted,Mean (over the listing's scored photos) CLIP softmax probability of 'a photo of a room with a finished ceiling' vs 'a photo of a room with exposed roof trusses and no ceiling',"Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_ceiling_fitted_max,image,ceiling_fitted,Max (over the listing's scored photos) CLIP softmax probability of 'a photo of a room with a finished ceiling' vs 'a photo of a room with exposed roof trusses and no ceiling',"Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_kitchen_fitted_mean,image,kitchen_fitted,"Mean (over the listing's scored photos) CLIP softmax probability of 'a photo of a fitted kitchen with cabinets and countertops' vs 'a photo of a bare, unfinished kitchen room with no cabinets'","Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
img_kitchen_fitted_max,image,kitchen_fitted,"Max (over the listing's scored photos) CLIP softmax probability of 'a photo of a fitted kitchen with cabinets and countertops' vs 'a photo of a bare, unfinished kitchen room with no cabinets'","Zero-shot CLIP (openai/clip-vit-base-patch32): cosine similarity between image embeddings and paired prompt text embeddings, softmax over the positive/negative pair","continuous (probability, 0-1)"
